remixid,artistid
OCR03044,12540
OCR03132,10893
OCR00541,4279
OCR00211,4280
OCR00096,4279
OCR00745,4443
OCR03428,15308
OCR01203,4552
OCR02433,10670
OCR03405,4685
OCR00905,4293
OCR01289,4627
OCR03042,11499
OCR03178,14134
OCR03529,15685
OCR00245,4348
OCR03293,12710
OCR03293,13677
OCR02932,13147
OCR03393,13668
OCR00208,4279
OCR00655,4279
OCR00029,4295
OCR00928,4534
OCR00160,4279
OCR01004,4510
OCR01421,4627
OCR01512,4717
OCR01512,11028
OCR02127,4595
OCR01983,4729
OCR02201,4796
OCR02048,4290
OCR03440,12783
OCR01684,4320
OCR03120,10898
OCR01936,4501
OCR03281,14925
OCR00008,4341
OCR00958,4541
OCR00225,4338
OCR02162,4659
OCR02162,4751
OCR02161,4659
OCR02161,4751
OCR02160,4726
OCR02160,4751
OCR02857,11494
OCR00280,4286
OCR01395,5095
OCR01395,4537
OCR01125,4552
OCR01125,4558
OCR02949,13668
OCR02949,12064
OCR00773,4326
OCR00529,4293
OCR01490,4706
OCR00377,4290
OCR00717,5900
OCR00717,4469
OCR00717,4429
OCR03335,15056
OCR00919,4496
OCR02380,4777
OCR01454,4649
OCR02758,12560
OCR00382,36
OCR00059,4414
OCR01567,4732
OCR01567,4726
OCR01773,4789
OCR01773,4748
OCR01941,4729
OCR00768,4283
OCR02673,12787
OCR02673,12788
OCR02673,12786
OCR02673,12789
OCR02673,12785
OCR03008,4469
OCR00222,4367
OCR02674,11481
OCR03176,12710
OCR03176,13677
OCR00292,4374
OCR02423,4553
OCR02396,4313
OCR00885,4287
OCR02527,10222
OCR01156,4511
OCR01189,4616
OCR01189,4611
OCR01189,4511
OCR03004,5043
OCR01302,4403
OCR01803,4588
OCR00100,4279
OCR02840,4787
OCR02764,4777
OCR02765,4543
OCR02762,11932
OCR01462,4635
OCR00350,4372
OCR00394,4281
OCR00520,4288
OCR01656,4760
OCR00752,4321
OCR00291,4313
OCR00234,4429
OCR00249,4429
OCR00527,4369
OCR03344,4729
OCR03344,12421
OCR02173,10225
OCR00395,4371
OCR03552,4703
OCR03509,4703
OCR03553,4703
OCR03312,4703
OCR03407,4703
OCR02294,10660
OCR00274,4370
