id,title,game,dateposted
OCR03044,"Welcome to Our Castle","3-D Ultra Pinball: Creep Night",2014-12-11
OCR03132,"Inter5tellar 5a5uke 5ever","3D Pinball: Space Cadet",2015-05-14
OCR00541,"Fill More Funk","ActRaiser",2002-02-19
OCR00211,"Fillmore Freestyle","ActRaiser",2000-12-19
OCR00096,"Lord PROTEKTOR","ActRaiser",2000-08-11
OCR00745,"Thy Followers","ActRaiser",2002-08-23
OCR03428,"Unworldly Invasion","Advance Wars",2016-09-28
OCR01203,"Tribal Warfare","Adventure Island",2004-06-23
OCR02433,"The Eggerlander March","Adventures of Lolo 3",2012-05-13
OCR03405,"On Wings of Steel","After Burner",2016-08-10
OCR00905,"Realms of Africa","Age of Empires: The Rise of Rome",2003-01-19
OCR01289,"Mucho Dollar Care a Junk CIA","Akumajo Dracula",2004-12-22
OCR03042,"Bloody Mayhem","Akumajo Dracula X: Nocturne in the Moonlight",2014-12-11
OCR03178,"Where's the Wall Chicken At?","Akumajo Dracula X: Nocturne in the Moonlight",2015-07-20
OCR03529,"All I Wanna Do","Akumajo Dracula X: Rondo of Blood",2017-04-17
OCR00245,"Dance, Richter, Dance","Akumajo Dracula X: Rondo of Blood",2001-01-13
OCR03293,"Mechanical Salvation","Akumajo Dracula X: Rondo of Blood",2016-01-19
OCR02932,"Phantasmal Hellfire","Akumajo Dracula X: Rondo of Blood",2014-07-09
OCR03393,"A Kingdom Under the Sea","Alex Kidd in Miracle World",2016-07-25
OCR00208,"Eastside Interlude","Alex Kidd in Miracle World",2000-12-19
OCR00655,"No One Can Do It Better","Alex Kidd in Miracle World",2002-05-23
OCR00029,"Sugar High","Alex Kidd in Miracle World",2000-03-05
OCR00928,"Halls of Abandonment","Alisia Dragoon",2003-02-13
OCR00160,"Resurrection by Breakbeat","Altered Beast",2000-11-04
OCR01004,"The Fallen's Grave","Altered Beast",2003-07-06
OCR01421,"Dreamwalker","Alundra",2005-10-27
OCR01512,"AmberTrance","Amberstar",2006-10-01
OCR02127,"Camrade","Animal Crossing",2010-11-20
OCR01983,"Letting Go","Animal Crossing",2010-02-02
OCR02201,"Mr. Soccerball","Animal Crossing",2011-03-12
OCR02048,"purdieoldays","Animal Crossing",2010-06-08
OCR03440,"Soothing Rain","Animal Crossing",2016-10-20
OCR01684,"Traveling","Animal Crossing",2008-02-15
OCR03120,"Dreamscapes","Anodyne",2015-04-20
OCR01936,"Minibadass","Aquaria",2009-11-15
OCR03281,"Prayer for the Azure Waters","Aquaria",2015-12-26
OCR00008,"1999 (2000 Mix)","Arkanoid",2000-02-09
OCR00958,"Black Block","Arkanoid",2003-03-28
OCR00225,"Navel Lint Dub","Arkanoid",2000-12-31
OCR02162,"Goodbye, Thinker","Armored Core 4",2011-01-10
OCR02161,"We Can See No.373","Armored Core: Formula Front - Extreme Battle",2011-01-10
OCR02160,"Hyper Monkey Likes the Dancefloor","Armored Core: Nexus",2011-01-10
OCR02857,"Electro Termites","Army Men: Air Attack",2014-03-27
OCR00280,"Match with Yuri","Art of Fighting 2",2001-02-20
OCR01395,"Dublin Delight","Artura",2005-08-28
OCR01125,"Niggaz 4 Life","Astérix",2004-02-21
OCR02949,"Welcome to Switzerland","Astérix",2014-08-04
OCR00773,"3 Ways","Astérix & Obélix",2002-09-13
OCR00529,"Danger in Remlia","Astyanax",2002-02-09
OCR01490,"Game Over (Cheeze Mix)","Awesome",2006-07-04
OCR00377,"City Lights","Axelay",2001-07-04
OCR00717,"Kick My Axe","Axelay",2002-07-21
OCR03335,"Rise of the Piggies","Bad Piggies",2016-04-19
OCR00919,"Dragons of Paradise","Bahamut Lagoon",2003-02-07
OCR02380,"Stockholm","Bahamut Lagoon",2012-01-26
OCR01454,"Child of the Murder God","Baldur's Gate",2006-02-12
OCR02758,"Hero of the Heartlands","Baldur's Gate",2013-10-14
OCR00382,"Ska Poppin'","Balloon Fight",2001-07-14
OCR00059,"Slumber Party","Banana",2000-05-26
OCR01567,"In the Darkness Lies","Banjo-Kazooie",2007-04-10
OCR01773,"Malevolent Mansion","Banjo-Kazooie",2008-11-03
OCR01941,"Wallachian Prince","Banjo-Kazooie",2009-11-30
OCR00768,"Plastic Goddess","Barbie Super Model",2002-09-10
OCR02673,"A 'Kid-pella","Bastion",2013-06-07
OCR03008,"Cleaning Out Axis","Batman",2014-10-28
OCR00222,"Music of Funk","Batman",2000-12-25
OCR02674,"Flugel Rock","Batman",2013-06-10
OCR03176,"Kaikuluotain","Batman",2015-07-16
OCR00292,"Bird Guy Jam","Battletoads",2001-03-03
OCR02423,"Ice Cave Dynamo","Battletoads",2012-04-20
OCR02396,"Toads in the Suite","Battletoads",2012-03-05
OCR00885,"Enter the Toad","Battletoads & Double Dragon: The Ultimate Team",2002-12-24
OCR02527,"Lady in Black","Bayonetta",2012-11-07
OCR01156,"Kick Your A","Beatmania IIDX 7th Style",2004-04-15
OCR01189,"Frame of Mind","Beyond Good & Evil",2004-06-05
OCR03004,"Rock and Ride","Biker Mice from Mars",2014-10-20
OCR01302,"Advance with Caution","Bionic Commando",2005-01-20
OCR01803,"Armed and Dangerous","Bionic Commando",2009-01-29
OCR00100,"ASSAULT","Bionic Commando",2000-08-19
OCR02840,"Enemy Underworld","Bionic Commando",2014-02-25
OCR02764,"Hold Your Weapon","Bionic Commando",2013-10-22
OCR02765,"Proceed Without Caution","Bionic Commando",2013-10-22
OCR02762,"Rearming Commandus","Bionic Commando",2013-10-22
OCR01462,"Bionic Electronica","Bionic Commando",2006-03-10
OCR00350,"Amphibian","Blaster Master",2001-05-24
OCR00394,"Dancer Master","Blaster Master",2001-07-31
OCR00520,"Der Überfrosch","Blaster Master",2002-01-30
OCR01656,"Fear My Lowering Coefficient of Friction","Blaster Master",2007-12-09
OCR00752,"Into the Earth","Blaster Master",2002-08-27
OCR00291,"Japanese Swamp","Blaster Master",2001-03-03
OCR00234,"Rocket","Blaster Master",2000-12-31
OCR00249,"Through the Eyes of Tragedy","Blaster Master",2001-01-17
OCR00527,"TI Blasta Party","Blaster Master",2002-02-06
OCR03344,"Jin's Tonic","BlazBlue: Calamity Trigger",2016-04-29
OCR02173,"Tao Is Taokaka","BlazBlue: Calamity Trigger",2011-02-01
OCR00395,"Industrial Bubbles","Blazing Lazers",2001-07-31
OCR03552,"Gehrman and Maria","Bloodborne",2017-06-05
OCR03509,"Mergo Reborn","Bloodborne",2017-03-07
OCR03553,"Spartans of the Church","Bloodborne",2017-06-05
OCR03312,"The Nightmare Ends","Bloodborne",2016-03-04
OCR03407,"Undone by the Blood","Bloodborne",2016-08-15
OCR02294,"Darkness Fears Light, and We Fear the Darkness","Boktai: The Sun is in Your Hand",2011-09-13
OCR00274,"Chip Trip","Bomberman",2001-02-11
OCR00767,"Bomberfuzz","Bomberman II",2002-09-07
OCR00002,"Prehistoric Xmas","Bonk's Adventure",1999-12-19
OCR00256,"Sewer Thug","Boogerman: A Pick and Flick Adventure",2001-01-26
OCR00706,"Diet Thirstquencher","Brave Fencer Musashi",2002-07-12
OCR03328,"Virgin Mojito at Bubble Joseph's","Bravely Default",2016-04-04
